log10_co2_permeance_gpu,log10_co2_ch4_selectivity,optimized_cost
2,1,106.2126595
2,1.5,67.40767846
2,2,50.4392731
2.5,1,77.02164246
2.5,1.5,43.85429329
2.5,2,35.44035584
3,1,69.00614328
3,1.5,35.86516733
3,2,28.07364101
3.5,1,69.94753094
3.5,1.5,31.9842227
3.5,2,23.78829691
4,1,65.73835175
4,1.5,28.61639599
4,2,21.57799249
4.5,1,64.07775086
4.5,1.5,28.46427238
4.5,2,20.40934694
5,1,63.96838786
5,1.5,27.41312943
5,2,20.60788754
5.5,1,63.93380428
5.5,1.5,26.8254901
5.5,2,19.8180135
6,1,63.92286793
6,1.5,26.78212447
6,2,19.75560941
